Module 	X	Y	Z
814	-637.950	-599.900	3028.5
815	-681.550	-599.900	3028.5
816	-725.150	-599.900	3028.5
817	-768.750	-599.900	3028.5
818	-812.350	-599.900	3028.5
819	-855.950	-599.900	3028.5
820	-899.550	-599.900	3028.5
821	-943.150	-599.900	3028.5
822	-27.550	-685.600	3028.5
823	-71.150	-685.600	3028.5
824	-114.750	-685.600	3028.5
825	-158.350	-685.600	3028.5
826	-201.950	-685.600	3028.5
827	-245.550	-685.600	3028.5
828	-289.150	-685.600	3028.5
829	-332.750	-685.600	3028.5
830	-376.350	-685.600	3028.5
831	-419.950	-685.600	3028.5
832	-463.550	-685.600	3028.5
833	-507.150	-685.600	3028.5
834	-550.750	-685.600	3028.5
835	-594.350	-685.600	3028.5
836	-637.950	-685.600	3028.5
837	-681.550	-685.600	3028.5
838	-725.150	-685.600	3028.5
839	-768.750	-685.600	3028.5
840	-812.350	-685.600	3028.5
841	-855.950	-685.600	3028.5
842	-27.550	-771.300	3028.5
843	-71.150	-771.300	3028.5
844	-114.750	-771.300	3028.5
845	-158.350	-771.300	3028.5
846	-201.950	-771.300	3028.5
847	-245.550	-771.300	3028.5
848	-289.150	-771.300	3028.5
849	-332.750	-771.300	3028.5
850	-376.350	-771.300	3028.5
851	-419.950	-771.300	3028.5
852	-463.550	-771.300	3028.5
853	-507.150	-771.300	3028.5
854	-550.750	-771.300	3028.5
855	-594.350	-771.300	3028.5
856	-637.950	-771.300	3028.5
857	-681.550	-771.300	3028.5
858	-725.150	-771.300	3028.5
859	-768.750	-771.300	3028.5
860	-27.550	-857.000	3028.5
861	-71.150	-857.000	3028.5
862	-114.750	-857.000	3028.5
863	-158.350	-857.000	3028.5
864	-201.950	-857.000	3028.5
865	-245.550	-857.000	3028.5
866	-289.150	-857.000	3028.5
867	-332.750	-857.000	3028.5
868	-376.350	-857.000	3028.5
